Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_HydraProteins
OG0000011	Clytia|LOC021186, Clytia|LOC021182, Clytia|LOC043323, Clytia|LOC020453, Clytia|LOC013439, Clytia|LOC030810, Clytia|LOC003825	Hydra|LOC105844927, Hydra|LOC124811300
OG0000011	Clytia|LOC017556, Clytia|LOC017552, Clytia|LOC006563, Clytia|LOC045657, Clytia|LOC020754	Hydra|LOC124811272
OG0000011	Clytia|LOC038723, Clytia|LOC000148	Hydra|LOC124812758, Hydra|LOC124810370
OG0000012	Clytia|LOC038611	Hydra|LOC100209982
OG0000020	Clytia|LOC018745	Hydra|LOC124807009, Hydra|LOC105844899, Hydra|LOC101241751, Hydra|LOC101236742, Hydra|LOC124811256, Hydra|LOC124815971, Hydra|LOC124815747, Hydra|LOC124816064, Hydra|LOC101236519, Hydra|LOC124812591, Hydra|LOC101238527, Hydra|LOC124808491, Hydra|LOC124808442, Hydra|LOC124807888, Hydra|LOC124808642, Hydra|LOC124813555, Hydra|LOC124812329, Hydra|LOC124811460, Hydra|LOC124812033, Hydra|LOC124812313, Hydra|LOC124813750, Hydra|LOC124815726, Hydra|LOC105850580, Hydra|LOC124816699, Hydra|LOC124817498, Hydra|LOC124818715, Hydra|LOC124818687, Hydra|LOC124805845, Hydra|LOC124807866, Hydra|LOC124817212, Hydra|LOC124806657, Hydra|LOC124818704, Hydra|LOC124817801, Hydra|LOC124810165, Hydra|LOC124807210, Hydra|LOC124811061, Hydra|LOC124811314, Hydra|LOC124817210, Hydra|LOC124809550, Hydra|LOC105845070, Hydra|LOC124815025, Hydra|LOC101239897, Hydra|LOC101236849, Hydra|LOC101241493, Hydra|LOC101240624, Hydra|LOC124816109, Hydra|LOC124818161, Hydra|LOC101237543, Hydra|LOC124817211, Hydra|LOC124818620
OG0000023	Clytia|LOC026260, Clytia|LOC018905	Hydra|LOC124808474, Hydra|LOC124818207, Hydra|LOC124809564
OG0000023	Clytia|LOC023405, Clytia|LOC004420, Clytia|LOC023007, Clytia|LOC001375	Hydra|LOC101234454
OG0000023	Clytia|LOC019292, Clytia|LOC005691, Clytia|LOC039584, Clytia|LOC027110, Clytia|LOC008436, Clytia|LOC045561, Clytia|LOC036249	Hydra|LOC124812605
OG0000023	Clytia|LOC043036, Clytia|LOC015151	Hydra|LOC124814939
OG0000027	Clytia|LOC036708	Hydra|LOC124810129, Hydra|LOC100212410, Hydra|LOC124810104, Hydra|LOC124810089, Hydra|LOC124810057, Hydra|LOC124810056, Hydra|LOC124810043, Hydra|LOC100212003, Hydra|LOC124810090
OG0000027	Clytia|LOC040069	Hydra|LOC100211936
OG0000028	Clytia|LOC014132	Hydra|LOC101234307, Hydra|LOC105847208, Hydra|LOC101237730, Hydra|LOC101235978, Hydra|LOC101235939, Hydra|LOC101234584, Hydra|LOC101237928, Hydra|LOC105850998, Hydra|LOC124806725, Hydra|LOC105844880, Hydra|LOC105845863, Hydra|LOC101241479, Hydra|LOC101237848, Hydra|LOC124816110, Hydra|LOC124816319, Hydra|LOC105843733, Hydra|LOC101235942, Hydra|LOC124813979, Hydra|LOC101240863, Hydra|LOC101239653, Hydra|LOC101236227, Hydra|LOC124812576
OG0000031	Clytia|LOC017475	Hydra|LOC124808574, Hydra|LOC124812840, Hydra|LOC124817742, Hydra|LOC124813483
OG0000031	Clytia|LOC026151	Hydra|LOC124809397, Hydra|LOC124807615, Hydra|LOC124816429, Hydra|LOC124808049, Hydra|LOC124808444, Hydra|LOC124812429, Hydra|LOC124813363
OG0000031	Clytia|LOC040162	Hydra|LOC124815433, Hydra|LOC124817995, Hydra|LOC124808661, Hydra|LOC124807629, Hydra|LOC124818773, Hydra|LOC124814020, Hydra|LOC124818103, Hydra|LOC124806260, Hydra|LOC124814004, Hydra|LOC124809229, Hydra|LOC124805915, Hydra|LOC124816899
OG0000036	Clytia|LOC027032, Clytia|LOC000262	Hydra|LOC124813503, Hydra|LOC124817190
OG0000036	Clytia|LOC025146, Clytia|LOC023340, Clytia|LOC025944, Clytia|LOC034307	Hydra|LOC105846812
OG0000037	Clytia|LOC012800	Hydra|LOC101237397
OG0000037	Clytia|LOC006347	Hydra|LOC124807742, Hydra|LOC124815457, Hydra|LOC105845174, Hydra|LOC124809142, Hydra|LOC105843872, Hydra|LOC124812137, Hydra|LOC124806497, Hydra|LOC124814087, Hydra|LOC124809173, Hydra|LOC124807610, Hydra|LOC124813145, Hydra|LOC124810296, Hydra|LOC124812089, Hydra|LOC124806627, Hydra|LOC105845505, Hydra|LOC124809134, Hydra|LOC124812727, Hydra|LOC124807875, Hydra|LOC124812663, Hydra|LOC124812444, Hydra|LOC124810139, Hydra|LOC124813685, Hydra|LOC124816195, Hydra|LOC124810589, Hydra|LOC124810610, Hydra|LOC124805773, Hydra|LOC124807482, Hydra|LOC124808925, Hydra|LOC124808926, Hydra|LOC124807261, Hydra|LOC105849071, Hydra|LOC105843508, Hydra|LOC100202567, Hydra|LOC124812088, Hydra|LOC124807652, Hydra|LOC105850375, Hydra|LOC124810033, Hydra|LOC124806439, Hydra|LOC124808404, Hydra|LOC124812155, Hydra|LOC105844476, Hydra|LOC124806484, Hydra|LOC124812450, Hydra|LOC124816532, Hydra|LOC124811607, Hydra|LOC124816708, Hydra|LOC124813462, Hydra|LOC124807873, Hydra|LOC124814520, Hydra|LOC124813777, Hydra|LOC124816464, Hydra|LOC124810316, Hydra|LOC124807935
OG0000038	Clytia|LOC020435, Clytia|LOC026073	Hydra|LOC105849896, Hydra|LOC101236124, Hydra|LOC101241209, Hydra|LOC105849797, Hydra|LOC101241798, Hydra|LOC101238699, Hydra|LOC101240221, Hydra|LOC105843656, Hydra|LOC101239129, Hydra|LOC101236254, Hydra|LOC101239770, Hydra|LOC124808611, Hydra|LOC101235500, Hydra|LOC101235687, Hydra|LOC101239603, Hydra|LOC101238386, Hydra|LOC124815232, Hydra|LOC124813908, Hydra|LOC124817248, Hydra|LOC101238402, Hydra|LOC101237398, Hydra|LOC101235608, Hydra|LOC100212569, Hydra|LOC101235699, Hydra|LOC124807571
