Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_HydractiniaProteins
OG0000001	Clytia|LOC011116, Clytia|LOC017291, Clytia|LOC013818, Clytia|LOC000723, Clytia|LOC002625, Clytia|LOC002671	Hydractinia|LOC130647046, Hydractinia|LOC130647905, Hydractinia|LOC130647384, Hydractinia|LOC130647262, Hydractinia|LOC130647977
OG0000001	Clytia|LOC038945	Hydractinia|LOC130614253, Hydractinia|LOC130614457
OG0000001	Clytia|LOC018746, Clytia|LOC003740	Hydractinia|LOC130641721, Hydractinia|LOC130641722, Hydractinia|LOC130641723, Hydractinia|LOC130641724
OG0000001	Clytia|LOC012545, Clytia|LOC031843, Clytia|LOC011555, Clytia|LOC010573, Clytia|LOC007558, Clytia|LOC007122	Hydractinia|LOC130647270
OG0000004	Clytia|LOC020599	Hydractinia|LOC130630115, Hydractinia|LOC130646094, Hydractinia|LOC130646093, Hydractinia|LOC130646092, Hydractinia|LOC130625081, Hydractinia|LOC130623239, Hydractinia|LOC130636856, Hydractinia|LOC130625055, Hydractinia|LOC130612826, Hydractinia|LOC130642405, Hydractinia|LOC130648527, Hydractinia|LOC130623118, Hydractinia|LOC130630113, Hydractinia|LOC130628683, Hydractinia|LOC130628651, Hydractinia|LOC130630089, Hydractinia|LOC130657814, Hydractinia|LOC130648568, Hydractinia|LOC130612827, Hydractinia|LOC130636855, Hydractinia|LOC130648526, Hydractinia|LOC130625187, Hydractinia|LOC130640695, Hydractinia|LOC130623022, Hydractinia|LOC130621119, Hydractinia|LOC130614601, Hydractinia|LOC130625205, Hydractinia|LOC130629937, Hydractinia|LOC130629964, Hydractinia|LOC130623159, Hydractinia|LOC130646193, Hydractinia|LOC130621190, Hydractinia|LOC130649439, Hydractinia|LOC130649185, Hydractinia|LOC130636680, Hydractinia|LOC130623641, Hydractinia|LOC130651353, Hydractinia|LOC130621342, Hydractinia|LOC130630224, Hydractinia|LOC130630233, Hydractinia|LOC130628638, Hydractinia|LOC130625774, Hydractinia|LOC130629942, Hydractinia|LOC130614452, Hydractinia|LOC130622896, Hydractinia|LOC130623132, Hydractinia|LOC130654739, Hydractinia|LOC130623236, Hydractinia|LOC130623112, Hydractinia|LOC130621225, Hydractinia|LOC130630128, Hydractinia|LOC130653854, Hydractinia|LOC130648076, Hydractinia|LOC130629890, Hydractinia|LOC130623610, Hydractinia|LOC130628672, Hydractinia|LOC130653782, Hydractinia|LOC130648852
OG0000004	Clytia|LOC019196	Hydractinia|LOC130631825, Hydractinia|LOC130625010, Hydractinia|LOC130623477, Hydractinia|LOC130613930, Hydractinia|LOC130644896, Hydractinia|LOC130648444, Hydractinia|LOC130622364, Hydractinia|LOC130647761, Hydractinia|LOC130645965, Hydractinia|LOC130614278, Hydractinia|LOC130645819, Hydractinia|LOC130630745, Hydractinia|LOC130630180, Hydractinia|LOC130635473, Hydractinia|LOC130645974, Hydractinia|LOC130648697, Hydractinia|LOC130614556, Hydractinia|LOC130641159, Hydractinia|LOC130646032, Hydractinia|LOC130646028, Hydractinia|LOC130646031, Hydractinia|LOC130624131, Hydractinia|LOC130646027, Hydractinia|LOC130623757, Hydractinia|LOC130625054, Hydractinia|LOC130642058, Hydractinia|LOC130646029, Hydractinia|LOC130623903, Hydractinia|LOC130623030, Hydractinia|LOC130647868, Hydractinia|LOC130625915, Hydractinia|LOC130643328, Hydractinia|LOC130623758, Hydractinia|LOC130623171, Hydractinia|LOC130622124, Hydractinia|LOC130629984, Hydractinia|LOC130649040, Hydractinia|LOC130662513, Hydractinia|LOC130644966, Hydractinia|LOC130612210, Hydractinia|LOC130645816
OG0000011	Clytia|LOC039786	Hydractinia|LOC130648062
OG0000011	Clytia|LOC035717	Hydractinia|LOC130613592
OG0000011	Clytia|LOC018850	Hydractinia|LOC130642361
OG0000011	Clytia|LOC017556, Clytia|LOC017552, Clytia|LOC006563, Clytia|LOC045657, Clytia|LOC020754	Hydractinia|LOC130636928
OG0000011	Clytia|LOC011210, Clytia|LOC043665, Clytia|LOC005801	Hydractinia|LOC130647152, Hydractinia|LOC130649583, Hydractinia|LOC130613862
